formulary_code,formulary_name,plan_code,market_segment,carrier,pbm,formulary_type,tier_count,coverage_level,effective_date,termination_date,region,drug_count,prior_auth_pct,step_therapy_pct,quantity_limit_pct,is_active
FORM-MEDI-CENT-2024-0011,CENTENE MEDICARE_PART_D Specialty 5-Tier Formulary 2024,VA_STANDARD_001,MEDICARE_PART_D,CENTENE,OPTUM_RX,SPECIALTY,5,BASIC,2024-01-01,2024-12-31,NATIONAL,824,6,4,25,true
FORM-MEDI-KAIS-2024-0012,KAISER MEDICARE_PART_D Standard 4-Tier Formulary 2024,EMP_TRAD_001,MEDICARE_PART_D,KAISER,CVS_CAREMARK,STANDARD,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,3789,24,13,10,true
FORM-MEDI-KAIS-2024-0013,KAISER MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,EMP_TRAD_001,MEDICARE_PART_D,KAISER,ELIXIR,ENHANCED,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,3604,20,5,28,true
FORM-MEDI-ANTH-2024-0014,ANTHEM MEDICARE_PART_D Standard 6-Tier Formulary 2024,FEHB_PREM_001,MEDICARE_PART_D,ANTHEM,EXPRESS_SCRIPTS,STANDARD,6,STANDARD,2024-01-01,2024-12-31,NATIONAL,3081,11,5,18,true
FORM-MEDI-CIGN-2024-0015,CIGNA MEDICARE_PART_D Standard 5-Tier Formulary 2024,COMM_SILV_001,MEDICARE_PART_D,CIGNA,ELIXIR,STANDARD,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2288,13,5,25,true
FORM-MEDI-CENT-2024-0016,CENTENE MEDICARE_PART_D Mail Order 6-Tier Formulary 2024,EMP_PREM_001,MEDICARE_PART_D,CENTENE,MAGELLAN_RX,MAIL_ORDER,6,BASIC,2024-01-01,2024-12-31,NATIONAL,2740,9,7,28,false
FORM-MEDI-CVS_-2024-0017,CVS_HEALTH MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,UNION_STD_001,MEDICARE_PART_D,CVS_HEALTH,ELIXIR,ENHANCED,5,BASIC,2024-01-01,2024-12-31,NATIONAL,3154,20,7,26,true
FORM-MEDI-KAIS-2024-0018,KAISER MEDICARE_PART_D Standard 4-Tier Formulary 2024,COMM_PLAT_001,MEDICARE_PART_D,KAISER,MEDIMPACT,STANDARD,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,3788,10,3,14,true
FORM-MEDI-AETN-2024-0019,AETNA MEDICARE_PART_D Basic 5-Tier Formulary 2024,VA_STANDARD_001,MEDICARE_PART_D,AETNA,NAVITUS,BASIC,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,2180,5,10,24,true
FORM-MEDI-KAIS-2024-0020,KAISER MEDICARE_PART_D Basic 5-Tier Formulary 2024,MCARE_SUPP_001,MEDICARE_PART_D,KAISER,HUMANA_PHARMACY,BASIC,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,1725,6,6,18,true
FORM-MEDI-HUMA-2024-0021,HUMANA MEDICARE_PART_D Enhanced 4-Tier Formulary 2024,UNION_STD_001,MEDICARE_PART_D,HUMANA,PRIME_THERAPEUTICS,ENHANCED,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,3319,6,10,28,true
FORM-MEDI-CENT-2024-0022,CENTENE MEDICARE_PART_D Enhanced 3-Tier Formulary 2024,COMM_HDHP_001,MEDICARE_PART_D,CENTENE,PRIME_THERAPEUTICS,ENHANCED,3,LIMITED,2024-01-01,2024-12-31,NATIONAL,3157,8,3,27,true
FORM-MEDI-CENT-2024-0023,CENTENE MEDICARE_PART_D Standard 3-Tier Formulary 2024,TRICARE_PRM_001,MEDICARE_PART_D,CENTENE,MEDIMPACT,STANDARD,3,LIMITED,2024-01-01,2024-12-31,NATIONAL,3311,10,4,12,true
FORM-MEDI-BCBS-2024-0024,BCBS MEDICARE_PART_D Standard 5-Tier Formulary 2024,MCAID_STD_001,MEDICARE_PART_D,BCBS,CVS_CAREMARK,STANDARD,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,3731,19,7,15,true
FORM-MEDI-UNIT-2024-0025,UNITED_HEALTHCARE MEDICARE_PART_D Standard 5-Tier Formulary 2024,FEHB_STAND_001,MEDICARE_PART_D,UNITED_HEALTHCARE,HUMANA_PHARMACY,STANDARD,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,3516,9,9,21,true
FORM-MEDI-AETN-2024-0026,AETNA MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,COMM_SILV_001,MEDICARE_PART_D,AETNA,PRIME_THERAPEUTICS,ENHANCED,5,BASIC,2024-01-01,2024-12-31,NATIONAL,3768,20,10,30,true
FORM-MEDI-BCBS-2024-0027,BCBS MEDICARE_PART_D Standard 5-Tier Formulary 2024,MCARE_SUPP_001,MEDICARE_PART_D,BCBS,HUMANA_PHARMACY,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2744,11,10,22,true
FORM-MEDI-CVS_-2024-0028,CVS_HEALTH MEDICARE_PART_D Standard 6-Tier Formulary 2024,COMM_PLAT_001,MEDICARE_PART_D,CVS_HEALTH,MAGELLAN_RX,STANDARD,6,STANDARD,2024-01-01,2024-12-31,NATIONAL,2655,7,9,19,true
FORM-MEDI-WELL-2024-0029,WELLCARE MEDICARE_PART_D Basic 4-Tier Formulary 2024,FEHB_BASIC_001,MEDICARE_PART_D,WELLCARE,MEDIMPACT,BASIC,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,2446,16,11,12,true
FORM-MEDI-AETN-2024-0030,AETNA MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,COMM_HDHP_001,MEDICARE_PART_D,AETNA,ELIXIR,ENHANCED,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,3314,20,15,16,true
FORM-MEDI-CENT-2024-0031,CENTENE MEDICARE_PART_D Standard 5-Tier Formulary 2024,TRICARE_PRM_001,MEDICARE_PART_D,CENTENE,CVS_CAREMARK,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,3195,10,14,29,true
FORM-MEDI-BCBS-2024-0032,BCBS MEDICARE_PART_D Basic 5-Tier Formulary 2024,CHIP_STD_001,MEDICARE_PART_D,BCBS,OPTUM_RX,BASIC,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2427,7,13,29,true
FORM-MEDI-AETN-2024-0033,AETNA MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,MCARE_PDPB_001,MEDICARE_PART_D,AETNA,NAVITUS,ENHANCED,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2818,21,10,21,true
FORM-MEDI-AETN-2024-0034,AETNA MEDICARE_PART_D Basic 4-Tier Formulary 2024,MCARE_PDPB_001,MEDICARE_PART_D,AETNA,ELIXIR,BASIC,4,BASIC,2024-01-01,2024-12-31,NATIONAL,2386,8,5,24,true
FORM-MEDI-CVS_-2024-0035,CVS_HEALTH MEDICARE_PART_D Standard 4-Tier Formulary 2024,MCARE_SUPP_001,MEDICARE_PART_D,CVS_HEALTH,ENVOLVE_PHARMACY,STANDARD,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,2962,24,14,10,true
FORM-MEDI-ANTH-2024-0036,ANTHEM MEDICARE_PART_D Standard 4-Tier Formulary 2024,COMM_PLAT_001,MEDICARE_PART_D,ANTHEM,PRIME_THERAPEUTICS,STANDARD,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,2384,8,6,14,true
FORM-MEDI-ANTH-2024-0037,ANTHEM MEDICARE_PART_D Standard 3-Tier Formulary 2024,PBMCO_STD_001,MEDICARE_PART_D,ANTHEM,PRIME_THERAPEUTICS,STANDARD,3,LIMITED,2024-01-01,2024-12-31,NATIONAL,2643,7,15,26,true
FORM-MEDI-CVS_-2024-0038,CVS_HEALTH MEDICARE_PART_D Mail Order 5-Tier Formulary 2024,COMM_PLAT_001,MEDICARE_PART_D,CVS_HEALTH,OPTUM_RX,MAIL_ORDER,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,3584,21,12,20,true
FORM-MEDI-KAIS-2024-0039,KAISER MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,IND_CATAS_001,MEDICARE_PART_D,KAISER,EXPRESS_SCRIPTS,ENHANCED,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2411,24,8,21,true
FORM-MEDI-AETN-2024-0040,AETNA MEDICARE_PART_D Standard 5-Tier Formulary 2024,FEHB_PREM_001,MEDICARE_PART_D,AETNA,CVS_CAREMARK,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2412,23,10,14,true
FORM-MEDI-AETN-2024-0041,AETNA MEDICARE_PART_D Mail Order 4-Tier Formulary 2024,EMP_TRAD_001,MEDICARE_PART_D,AETNA,MAGELLAN_RX,MAIL_ORDER,4,BASIC,2024-01-01,2024-12-31,NATIONAL,3020,23,15,21,true
FORM-MEDI-CVS_-2024-0042,CVS_HEALTH MEDICARE_PART_D Enhanced 4-Tier Formulary 2024,MCARE_MAPD_001,MEDICARE_PART_D,CVS_HEALTH,EXPRESS_SCRIPTS,ENHANCED,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,3964,10,13,20,true
FORM-MEDI-UNIT-2024-0043,UNITED_HEALTHCARE MEDICARE_PART_D Standard 4-Tier Formulary 2024,UNION_PREM_001,MEDICARE_PART_D,UNITED_HEALTHCARE,CVS_CAREMARK,STANDARD,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,2321,20,11,15,false
FORM-MEDI-WELL-2024-0044,WELLCARE MEDICARE_PART_D Standard 3-Tier Formulary 2024,EXCH_GOLD_001,MEDICARE_PART_D,WELLCARE,EXPRESS_SCRIPTS,STANDARD,3,STANDARD,2024-01-01,2024-12-31,NATIONAL,3466,25,15,17,true
FORM-MEDI-KAIS-2024-0045,KAISER MEDICARE_PART_D Basic 5-Tier Formulary 2024,EMP_TRAD_001,MEDICARE_PART_D,KAISER,HUMANA_PHARMACY,BASIC,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,1504,7,9,23,true
FORM-MEDI-HUMA-2024-0046,HUMANA MEDICARE_PART_D Standard 3-Tier Formulary 2024,IND_BRON_001,MEDICARE_PART_D,HUMANA,CVS_CAREMARK,STANDARD,3,STANDARD,2024-01-01,2024-12-31,NATIONAL,2972,20,3,30,true
FORM-MEDI-HUMA-2024-0047,HUMANA MEDICARE_PART_D Basic 3-Tier Formulary 2024,MCAID_STD_001,MEDICARE_PART_D,HUMANA,CVS_CAREMARK,BASIC,3,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,2262,21,6,30,true
FORM-MEDI-WELL-2024-0048,WELLCARE MEDICARE_PART_D Mail Order 5-Tier Formulary 2024,COMM_BRON_001,MEDICARE_PART_D,WELLCARE,CVS_CAREMARK,MAIL_ORDER,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2713,18,10,17,true
FORM-MEDI-WELL-2024-0049,WELLCARE MEDICARE_PART_D Standard 6-Tier Formulary 2024,UNION_STD_001,MEDICARE_PART_D,WELLCARE,ENVOLVE_PHARMACY,STANDARD,6,BASIC,2024-01-01,2024-12-31,NATIONAL,2098,6,12,12,true
FORM-MEDI-CIGN-2024-0050,CIGNA MEDICARE_PART_D Standard 6-Tier Formulary 2024,MCAID_STD_001,MEDICARE_PART_D,CIGNA,ELIXIR,STANDARD,6,BASIC,2024-01-01,2024-12-31,NATIONAL,3227,25,12,12,true
FORM-MEDI-CVS_-2024-0051,CVS_HEALTH MEDICARE_PART_D Specialty 5-Tier Formulary 2024,FEHB_BASIC_001,MEDICARE_PART_D,CVS_HEALTH,HUMANA_PHARMACY,SPECIALTY,5,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,999,22,10,29,true
FORM-MEDI-CIGN-2024-0052,CIGNA MEDICARE_PART_D Standard 3-Tier Formulary 2024,VA_STANDARD_001,MEDICARE_PART_D,CIGNA,ENVOLVE_PHARMACY,STANDARD,3,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,2525,14,4,24,true
FORM-MEDI-WELL-2024-0053,WELLCARE MEDICARE_PART_D Standard 5-Tier Formulary 2024,COMM_SILV_001,MEDICARE_PART_D,WELLCARE,NAVITUS,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2076,11,3,11,true
FORM-MEDI-UNIT-2024-0054,UNITED_HEALTHCARE MEDICARE_PART_D Basic 4-Tier Formulary 2024,MCAID_EXP_001,MEDICARE_PART_D,UNITED_HEALTHCARE,EXPRESS_SCRIPTS,BASIC,4,BASIC,2024-01-01,2024-12-31,NATIONAL,1621,25,14,28,true
FORM-MEDI-CVS_-2024-0055,CVS_HEALTH MEDICARE_PART_D Specialty 3-Tier Formulary 2024,MCARE_MAPD_001,MEDICARE_PART_D,CVS_HEALTH,CVS_CAREMARK,SPECIALTY,3,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,1416,13,4,23,true
FORM-MEDI-BCBS-2024-0056,BCBS MEDICARE_PART_D Standard 5-Tier Formulary 2024,COMM_HDHP_001,MEDICARE_PART_D,BCBS,MAGELLAN_RX,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,3551,25,13,24,true
FORM-MEDI-WELL-2024-0057,WELLCARE MEDICARE_PART_D Standard 3-Tier Formulary 2024,VA_STANDARD_001,MEDICARE_PART_D,WELLCARE,OPTUM_RX,STANDARD,3,BASIC,2024-01-01,2024-12-31,NATIONAL,2710,23,9,17,true
FORM-MEDI-BCBS-2024-0058,BCBS MEDICARE_PART_D Standard 5-Tier Formulary 2024,FEHB_STAND_001,MEDICARE_PART_D,BCBS,HUMANA_PHARMACY,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,3093,18,15,21,true
FORM-MEDI-HUMA-2024-0059,HUMANA MEDICARE_PART_D Basic 5-Tier Formulary 2024,COMM_BRON_001,MEDICARE_PART_D,HUMANA,EXPRESS_SCRIPTS,BASIC,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,2234,6,11,21,true
FORM-MEDI-CVS_-2024-0060,CVS_HEALTH MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,COMM_BRON_001,MEDICARE_PART_D,CVS_HEALTH,ENVOLVE_PHARMACY,ENHANCED,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2767,14,4,22,true
FORM-MEDI-UNIT-2024-0061,UNITED_HEALTHCARE MEDICARE_PART_D Standard 5-Tier Formulary 2024,IND_SILV_001,MEDICARE_PART_D,UNITED_HEALTHCARE,ENVOLVE_PHARMACY,STANDARD,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,2887,23,8,23,true
FORM-MEDI-BCBS-2024-0062,BCBS MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,CHIP_STD_001,MEDICARE_PART_D,BCBS,MEDIMPACT,ENHANCED,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2915,9,12,25,true
FORM-MEDI-CIGN-2024-0063,CIGNA MEDICARE_PART_D Basic 3-Tier Formulary 2024,EMP_TRAD_001,MEDICARE_PART_D,CIGNA,PRIME_THERAPEUTICS,BASIC,3,STANDARD,2024-01-01,2024-12-31,NATIONAL,2126,14,7,24,true
FORM-MEDI-WELL-2024-0064,WELLCARE MEDICARE_PART_D Standard 4-Tier Formulary 2024,FEHB_PREM_001,MEDICARE_PART_D,WELLCARE,PRIME_THERAPEUTICS,STANDARD,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,2805,10,3,27,true
FORM-MEDI-HUMA-2024-0065,HUMANA MEDICARE_PART_D Specialty 6-Tier Formulary 2024,TRICARE_STD_001,MEDICARE_PART_D,HUMANA,HUMANA_PHARMACY,SPECIALTY,6,LIMITED,2024-01-01,2024-12-31,NATIONAL,1434,15,9,30,true
FORM-MEDI-HUMA-2024-0066,HUMANA MEDICARE_PART_D Standard 5-Tier Formulary 2024,MCARE_MAPD_001,MEDICARE_PART_D,HUMANA,MAGELLAN_RX,STANDARD,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2873,5,6,10,true
FORM-MEDI-AETN-2024-0067,AETNA MEDICARE_PART_D Specialty 4-Tier Formulary 2024,IND_GOLD_001,MEDICARE_PART_D,AETNA,ENVOLVE_PHARMACY,SPECIALTY,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,617,13,8,30,true
FORM-MEDI-CIGN-2024-0068,CIGNA MEDICARE_PART_D Basic 4-Tier Formulary 2024,MCARE_SUPP_001,MEDICARE_PART_D,CIGNA,ELIXIR,BASIC,4,STANDARD,2024-01-01,2024-12-31,NATIONAL,1221,18,14,20,true
FORM-MEDI-BCBS-2024-0069,BCBS MEDICARE_PART_D Specialty 3-Tier Formulary 2024,FEHB_STAND_001,MEDICARE_PART_D,BCBS,CVS_CAREMARK,SPECIALTY,3,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,1106,20,7,17,true
FORM-MEDI-HUMA-2024-0070,HUMANA MEDICARE_PART_D Specialty 4-Tier Formulary 2024,UNION_PREM_001,MEDICARE_PART_D,HUMANA,ENVOLVE_PHARMACY,SPECIALTY,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,1199,9,12,25,true
FORM-MEDI-CVS_-2024-0071,CVS_HEALTH MEDICARE_PART_D Basic 5-Tier Formulary 2024,IND_BRON_001,MEDICARE_PART_D,CVS_HEALTH,PRIME_THERAPEUTICS,BASIC,5,BASIC,2024-01-01,2024-12-31,NATIONAL,1374,8,3,20,true
FORM-MEDI-ANTH-2024-0072,ANTHEM MEDICARE_PART_D Standard 3-Tier Formulary 2024,FEHB_STAND_001,MEDICARE_PART_D,ANTHEM,MAGELLAN_RX,STANDARD,3,LIMITED,2024-01-01,2024-12-31,NATIONAL,3133,11,12,11,true
FORM-MEDI-ANTH-2024-0073,ANTHEM MEDICARE_PART_D Standard 4-Tier Formulary 2024,MCARE_PDPB_001,MEDICARE_PART_D,ANTHEM,NAVITUS,STANDARD,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,3908,16,12,27,true
FORM-MEDI-CENT-2024-0074,CENTENE MEDICARE_PART_D Basic 4-Tier Formulary 2024,UNION_STD_001,MEDICARE_PART_D,CENTENE,ELIXIR,BASIC,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,1245,8,8,24,true
FORM-MEDI-HUMA-2024-0075,HUMANA MEDICARE_PART_D Standard 5-Tier Formulary 2024,CHIP_STD_001,MEDICARE_PART_D,HUMANA,NAVITUS,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2642,15,9,25,true
FORM-MEDI-ANTH-2024-0076,ANTHEM MEDICARE_PART_D Specialty 5-Tier Formulary 2024,UNION_PREM_001,MEDICARE_PART_D,ANTHEM,ELIXIR,SPECIALTY,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,1245,5,4,19,true
FORM-MEDI-CIGN-2024-0077,CIGNA MEDICARE_PART_D Standard 4-Tier Formulary 2024,UNION_PREM_001,MEDICARE_PART_D,CIGNA,ELIXIR,STANDARD,4,STANDARD,2024-01-01,2024-12-31,NATIONAL,3483,14,9,29,true
FORM-MEDI-CIGN-2024-0078,CIGNA MEDICARE_PART_D Enhanced 3-Tier Formulary 2024,IND_BRON_001,MEDICARE_PART_D,CIGNA,HUMANA_PHARMACY,ENHANCED,3,STANDARD,2024-01-01,2024-12-31,NATIONAL,3713,10,9,28,true
FORM-MEDI-KAIS-2024-0079,KAISER MEDICARE_PART_D Enhanced 4-Tier Formulary 2024,UNION_STD_001,MEDICARE_PART_D,KAISER,NAVITUS,ENHANCED,4,BASIC,2024-01-01,2024-12-31,NATIONAL,3068,17,12,21,true
FORM-MEDI-BCBS-2024-0080,BCBS MEDICARE_PART_D Standard 4-Tier Formulary 2024,TRICARE_PRM_001,MEDICARE_PART_D,BCBS,PRIME_THERAPEUTICS,STANDARD,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,2204,6,3,13,true
FORM-MEDI-WELL-2024-0081,WELLCARE MEDICARE_PART_D Standard 4-Tier Formulary 2024,FEHB_STAND_001,MEDICARE_PART_D,WELLCARE,CVS_CAREMARK,STANDARD,4,STANDARD,2024-01-01,2024-12-31,NATIONAL,3628,6,13,28,true
FORM-MEDI-UNIT-2024-0082,UNITED_HEALTHCARE MEDICARE_PART_D Standard 4-Tier Formulary 2024,MCARE_MAPD_001,MEDICARE_PART_D,UNITED_HEALTHCARE,PRIME_THERAPEUTICS,STANDARD,4,STANDARD,2024-01-01,2024-12-31,NATIONAL,3485,15,13,19,true
FORM-MEDI-WELL-2024-0083,WELLCARE MEDICARE_PART_D Specialty 5-Tier Formulary 2024,FEHB_PREM_001,MEDICARE_PART_D,WELLCARE,MEDIMPACT,SPECIALTY,5,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,705,23,4,20,true
FORM-MEDI-CIGN-2024-0084,CIGNA MEDICARE_PART_D Standard 4-Tier Formulary 2024,EXCH_GOLD_001,MEDICARE_PART_D,CIGNA,PRIME_THERAPEUTICS,STANDARD,4,STANDARD,2024-01-01,2024-12-31,NATIONAL,3814,9,14,22,true
FORM-MEDI-KAIS-2024-0085,KAISER MEDICARE_PART_D Standard 5-Tier Formulary 2024,MCARE_PDPB_001,MEDICARE_PART_D,KAISER,HUMANA_PHARMACY,STANDARD,5,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,3078,22,10,12,true
FORM-MEDI-HUMA-2024-0086,HUMANA MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,TRICARE_PRM_001,MEDICARE_PART_D,HUMANA,NAVITUS,ENHANCED,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,3298,23,15,25,true
FORM-MEDI-KAIS-2024-0087,KAISER MEDICARE_PART_D Specialty 5-Tier Formulary 2024,IND_GOLD_001,MEDICARE_PART_D,KAISER,PRIME_THERAPEUTICS,SPECIALTY,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,1190,25,6,27,false
FORM-MEDI-KAIS-2024-0088,KAISER MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,COMM_GOLD_001,MEDICARE_PART_D,KAISER,NAVITUS,ENHANCED,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,2597,10,10,23,true
FORM-MEDI-HUMA-2024-0089,HUMANA MEDICARE_PART_D Standard 5-Tier Formulary 2024,EMP_PREM_001,MEDICARE_PART_D,HUMANA,MEDIMPACT,STANDARD,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2527,7,7,23,true
FORM-MEDI-WELL-2024-0090,WELLCARE MEDICARE_PART_D Basic 3-Tier Formulary 2024,COMM_SILV_001,MEDICARE_PART_D,WELLCARE,ENVOLVE_PHARMACY,BASIC,3,BASIC,2024-01-01,2024-12-31,NATIONAL,2266,22,14,23,true
FORM-MEDI-CVS_-2024-0091,CVS_HEALTH MEDICARE_PART_D Specialty 5-Tier Formulary 2024,EMP_TRAD_001,MEDICARE_PART_D,CVS_HEALTH,EXPRESS_SCRIPTS,SPECIALTY,5,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,552,21,13,21,true
FORM-MEDI-AETN-2024-0092,AETNA MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,UNION_STD_001,MEDICARE_PART_D,AETNA,MAGELLAN_RX,ENHANCED,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,3721,20,6,18,true
FORM-MEDI-CENT-2024-0093,CENTENE MEDICARE_PART_D Basic 4-Tier Formulary 2024,COMM_SILV_001,MEDICARE_PART_D,CENTENE,MAGELLAN_RX,BASIC,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,1727,14,12,20,true
FORM-MEDI-UNIT-2024-0094,UNITED_HEALTHCARE MEDICARE_PART_D Standard 5-Tier Formulary 2024,COMM_SILV_001,MEDICARE_PART_D,UNITED_HEALTHCARE,ELIXIR,STANDARD,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2424,6,7,21,true
FORM-MEDI-WELL-2024-0095,WELLCARE MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,TRICARE_PRM_001,MEDICARE_PART_D,WELLCARE,PRIME_THERAPEUTICS,ENHANCED,5,BASIC,2024-01-01,2024-12-31,NATIONAL,2582,12,11,23,true
FORM-MEDI-WELL-2024-0096,WELLCARE MEDICARE_PART_D Enhanced 3-Tier Formulary 2024,MCARE_PDPB_001,MEDICARE_PART_D,WELLCARE,MEDIMPACT,ENHANCED,3,BASIC,2024-01-01,2024-12-31,NATIONAL,3246,22,6,19,true
