ndc_code,drug_name,generic_name,strength,dosage_form,route,manufacturer,drug_class,therapeutic_category,is_generic,is_brand,is_specialty,is_controlled,dea_schedule,awp_price,wac_price,mac_price,package_size,package_unit,fda_approval_date,is_active
92381-0032-38,Fluprazole,fluprazole,10mg,CAPSULE,OTIC,MYLAN,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,3.17,2.69,2.22,90,EA,1982-07-16,true
11506-0033-06,Lipoplus,azsartan,40mg,CAPSULE,ORAL,JOHNSON_JOHNSON,CEPHALOSPORIN,ANTIBIOTICS,false,true,false,false,,377.87,309.85,,500,EA,2023-05-14,true
45608-0034-17,Ibufloxacin,ibufloxacin,40mg,CAPSULE,ORAL,TEVA,PENICILLIN,ANTIBIOTICS,true,false,false,false,,18.81,15.99,13.17,100,EA,2003-03-19,true
15452-0035-48,Tampril,tampril,50mg,TABLET,ORAL,CIPLA,ANTIPSYCHOTIC,CNS,true,false,false,false,,28.08,23.87,19.66,500,EA,2013-07-07,true
67136-0036-46,Metvir,metvir,125mg/5ml,SUSPENSION,INJECTION,CIPLA,HORMONE_REPLACEMENT,ENDOCRINE,true,false,false,false,,33.92,28.83,23.74,200,ML,2018-02-18,true
96454-0037-90,Parcycline,parcycline,50mg,CAPSULE,ORAL,MYLAN,THYROID,ENDOCRINE,true,false,false,false,,9.15,7.78,6.41,30,EA,2016-12-05,true
03712-0038-56,Immunoquad,omprazole,40mg,TABLET,TOPICAL,BRISTOL_MYERS_SQUIBB,MACROLIDE,ANTIBIOTICS,false,true,false,false,,496.70,407.29,,60,EA,2004-06-07,true
44476-0039-60,Gabolol,gabolol,20mg,TABLET,ORAL,CIPLA,HORMONE_THERAPY,ONCOLOGY,true,false,false,false,,47.01,39.96,32.91,90,EA,2017-12-27,true
25549-0040-61,Omcycline,omcycline,500mg,TABLET,ORAL,MYLAN,ANTIEMETIC,GASTROINTESTINAL,true,false,false,false,,25.96,22.07,18.17,30,EA,2017-04-18,true
34445-0041-91,Endood,azolol,150mg,CAPSULE,ORAL,ROCHE,ANTIDEPRESSANT,CNS,false,true,false,false,,297.77,244.17,,60,EA,2010-04-01,true
48671-0042-76,Ibuazole,ibuazole,10mg,TABLET,ORAL,ACTAVIS,ANTIFUNGAL,DERMATOLOGY,true,false,false,false,,5.80,4.93,4.06,100,EA,2005-09-05,true
14949-0043-79,Cloprazole,cloprazole,40mg,CAPSULE,INJECTION,DR_REDDY,SGLT2_INHIBITOR,DIABETES,true,false,false,false,,41.81,35.54,29.27,500,EA,1982-01-24,true
20929-0044-57,Valzepam,valzepam,40mg,TABLET,ORAL,ACTAVIS,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,38.53,32.75,26.97,500,EA,1980-12-25,true
42294-0045-85,Ibucillin,ibucillin,25mcg/hr,PATCH,ORAL,SANDOZ,STIMULANT,CNS,true,false,false,false,,21.45,18.23,15.01,30,ML,1983-08-26,true
74812-0046-98,Xenoduo,mettidine,100mg,CAPSULE,ORAL,PFIZER,ANTIBIOTIC_EYE,OPHTHALMOLOGY,false,true,false,false,,96.83,79.40,,30,EA,2018-07-17,true
92223-0047-53,Venazole,venazole,75mg,CAPSULE,INJECTION,DR_REDDY,OPIOID,PAIN_MANAGEMENT,true,false,false,false,,39.94,33.95,27.96,500,EA,2014-04-26,true
40188-0048-37,Hepashield,omprazole,0.5%,OINTMENT,INJECTION,BAYER,ANTICOAGULANT,CARDIOVASCULAR,false,true,true,false,,2047.14,1637.71,,15,ML,2012-12-07,true
39648-0049-89,Glucoforte,serzepam,150mg,CAPSULE,ORAL,ELI_LILLY,TOPICAL_ANALGESIC,PAIN_MANAGEMENT,false,true,false,false,,293.62,240.77,,90,EA,2003-06-13,true
75433-0050-94,Clotriptan,clotriptan,50mcg/hr,PATCH,ORAL,CIPLA,GLP1_AGONIST,DIABETES,true,false,false,false,,1.86,1.58,1.30,30,ML,2024-08-26,true
73523-0051-21,Serdipine,serdipine,25mg,CAPSULE,OTIC,MYLAN,OSTEOPOROSIS,ENDOCRINE,true,false,false,false,,38.19,32.46,26.73,500,EA,2004-01-16,true
53053-0052-20,Doxsartan,doxsartan,0.5%,OINTMENT,INJECTION,ZYDUS,BETA_BLOCKER,CARDIOVASCULAR,true,false,false,false,,0.41,0.35,0.29,15,ML,2014-03-28,true
45762-0053-51,Cipdipine,cipdipine,25mg,TABLET,ORAL,AUROBINDO,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,34.06,28.95,23.84,60,EA,1980-04-17,true
10175-0054-28,Zolazole,zolazole,250mg,TABLET,ORAL,TEVA,STATIN,CARDIOVASCULAR,true,false,false,false,,31.98,27.18,22.39,90,EA,1996-03-14,true
81388-0055-41,Metolol,metolol,200mg,CAPSULE,ORAL,MYLAN,SULFONYLUREA,DIABETES,true,false,false,false,,23.04,19.58,16.13,100,EA,2004-10-24,true
38969-0056-85,Doxzepam,doxzepam,90mcg,INHALER,ORAL,TEVA,OPIOID,PAIN_MANAGEMENT,true,false,false,false,,33.75,28.69,23.62,1,ML,2013-06-01,true
12568-0057-26,Pharquad,ibusartan,0.1%,CREAM,ORAL,MERCK,ANXIOLYTIC,CNS,false,true,false,false,,141.81,116.28,,60,ML,2010-12-05,true
56787-0058-58,Warcillin,warcillin,40mg,TABLET,OTIC,ACTAVIS,STIMULANT,CNS,true,false,false,false,,31.87,27.09,22.31,500,EA,1987-12-21,true
28119-0059-96,Ibuprazole,ibuprazole,20mg,TABLET,ORAL,ACTAVIS,PENICILLIN,ANTIBIOTICS,true,false,false,false,,17.90,15.21,12.53,100,EA,2016-01-03,true
88458-0060-11,Cipzolam,cipzolam,50mg/5ml,SOLUTION,INJECTION,SUN_PHARMA,ANTIDEPRESSANT,CNS,true,false,false,false,,42.88,36.45,30.02,480,ML,2007-09-03,true
58347-0061-42,Protriptan,protriptan,500mg,TABLET,ORAL,ACTAVIS,METFORMIN,DIABETES,true,false,false,false,,7.61,6.47,5.33,30,EA,1992-04-26,true
57069-0062-29,Gabstatin,gabstatin,10mg/ml,INJECTION,OPHTHALMIC,TEVA,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,46.60,39.61,32.62,25,ML,2017-02-14,true
11516-0063-51,Cardier,bensartan,20mg,TABLET,ORAL,GLAXOSMITHKLINE,INSULIN,DIABETES,false,true,false,false,,157.66,129.28,,60,EA,2014-11-17,true
45541-0064-81,Endipine,endipine,100mg,TABLET,OPHTHALMIC,DR_REDDY,OSTEOPOROSIS,ENDOCRINE,true,false,false,false,,38.99,33.14,27.29,30,EA,2017-03-18,true
09407-0065-31,Sercillin,sercillin,50mcg/hr,PATCH,INHALATION,CIPLA,LAXATIVE,GASTROINTESTINAL,true,false,false,false,,43.24,36.75,30.27,10,ML,1984-02-08,true
45459-0066-91,Doxcycline,doxcycline,200mg,CAPSULE,ORAL,DR_REDDY,OPIOID,PAIN_MANAGEMENT,true,false,false,false,,29.63,25.19,20.74,90,EA,2023-06-20,true
53917-0067-58,Ketdipine,ketdipine,25mg,TABLET,ORAL,LUPIN,OSTEOPOROSIS,ENDOCRINE,true,false,false,false,,4.37,3.71,3.06,30,EA,1993-05-13,true
68140-0068-45,Doxzolam,doxzolam,10mg,TABLET,INJECTION,SANDOZ,GLAUCOMA,OPHTHALMOLOGY,true,false,false,false,,6.35,5.40,4.44,90,EA,1992-04-18,true
89667-0069-44,Ketpril,ketpril,75mg,CAPSULE,TRANSDERMAL,TEVA,ANTIPARASITIC,OTHER,true,false,false,false,,14.63,12.44,10.24,500,EA,1999-07-06,true
72647-0070-52,Serood,simtidine,100mg/ml,INJECTION,ORAL,SANOFI,BETA_BLOCKER,CARDIOVASCULAR,false,true,false,false,,172.14,141.15,,5,ML,1999-10-24,true
81415-0071-56,Actimax,clofloxacin,75mg,CAPSULE,ORAL,MERCK,INSULIN,DIABETES,false,true,false,false,,213.00,174.66,,90,EA,2013-09-03,true
13582-0072-43,Gabazole,gabazole,100mg,CAPSULE,ORAL,SUN_PHARMA,LAXATIVE,GASTROINTESTINAL,true,false,false,false,,15.74,13.38,11.02,500,EA,1988-04-25,true
79006-0073-86,Ketosr,ceftidine,10mg,TABLET,OPHTHALMIC,PFIZER,ANTIPSYCHOTIC,CNS,false,true,false,false,,54.05,44.32,,60,EA,2013-09-03,true
14942-0074-06,Dermsr,propril,500mg,TABLET,ORAL,BOEHRINGER_INGELHEIM,ANTIBIOTIC_EYE,OPHTHALMOLOGY,false,true,false,false,,243.12,199.36,,30,EA,2023-06-11,true
20321-0075-98,Doxsartan,doxsartan,5%,CREAM,TOPICAL,ACTAVIS,OPIOID,PAIN_MANAGEMENT,true,false,false,false,,13.44,11.42,9.41,30,ML,1986-08-05,true
52553-0076-05,Procillin,procillin,5mg,TABLET,ORAL,MYLAN,OVERACTIVE_BLADDER,UROLOGY,true,false,false,false,,27.63,23.49,19.34,100,EA,1992-11-08,true
82767-0077-07,Ketolol,ketolol,25mg/5ml,SOLUTION,INJECTION,CIPLA,OPIOID,PAIN_MANAGEMENT,true,false,false,true,II,5.55,4.72,3.88,480,ML,1997-05-06,true
25851-0078-72,Divir,divir,10mg,CAPSULE,ORAL,TEVA,INSULIN,DIABETES,true,false,false,false,,0.63,0.54,0.44,30,EA,2004-12-11,true
64419-0079-75,Protriptan,protriptan,40mg,CAPSULE,ORAL,TEVA,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,9.93,8.44,6.95,30,EA,1996-02-22,true
94535-0080-75,Oncocr,gabsartan,40mg,CAPSULE,ORAL,GLAXOSMITHKLINE,ANTIPSYCHOTIC,CNS,false,true,false,false,,466.48,382.51,,60,EA,2006-06-19,true
08728-0081-67,Parfloxacin,parfloxacin,250mg,TABLET,ORAL,DR_REDDY,PSORIASIS_TREATMENT,DERMATOLOGY,true,false,false,false,,49.45,42.03,34.62,30,EA,2022-01-08,true
11565-0082-66,Ketoguard,omolol,25mg/5ml,SOLUTION,ORAL,BRISTOL_MYERS_SQUIBB,ANTIHISTAMINE,RESPIRATORY,false,true,false,false,,33.34,27.34,,100,ML,2007-11-15,true
98715-0083-97,Valprazole,valprazole,125mg/5ml,SUSPENSION,OTIC,AUROBINDO,STATIN,CARDIOVASCULAR,true,false,false,false,,13.50,11.47,9.45,150,ML,1987-04-07,true
93989-0084-49,Valtriptan,valtriptan,50mg,TABLET,ORAL,SUN_PHARMA,ANTIBIOTIC_EYE,OPHTHALMOLOGY,true,false,false,false,,25.18,21.40,17.63,100,EA,2019-10-15,true
56678-0085-32,Azstatin,azstatin,10mg,TABLET,ORAL,TEVA,CALCIUM_CHANNEL_BLOCKER,CARDIOVASCULAR,true,false,false,false,,17.00,14.45,11.90,100,EA,2001-06-02,true
26595-0086-41,Ibuzepam,ibuzepam,100mg,TABLET,ORAL,ACTAVIS,MACROLIDE,ANTIBIOTICS,true,false,false,false,,25.94,22.05,18.16,100,EA,1981-02-02,true
98712-0087-32,Flexer,simzolam,20mg,CAPSULE,ORAL,BOEHRINGER_INGELHEIM,CEPHALOSPORIN,ANTIBIOTICS,false,true,false,false,,497.24,407.74,,30,EA,1990-03-12,true
80893-0088-61,Gabvir,gabvir,40mg,CAPSULE,OPHTHALMIC,ACTAVIS,ANTIDEPRESSANT,CNS,true,false,false,false,,11.31,9.61,7.92,60,EA,2014-03-15,true
13354-0089-88,Fludipine,fludipine,25mg/ml,INJECTION,ORAL,AUROBINDO,MACROLIDE,ANTIBIOTICS,true,false,false,false,,29.50,25.07,20.65,10,ML,1985-01-22,true
91064-0090-69,Zoldipine,zoldipine,10mg,TABLET,TOPICAL,ACTAVIS,TARGETED_THERAPY,ONCOLOGY,true,false,false,false,,1.86,1.58,1.30,500,EA,2013-04-16,true
57565-0091-16,Fluzolam,fluzolam,50mg,TABLET,TOPICAL,LUPIN,CEPHALOSPORIN,ANTIBIOTICS,true,false,false,false,,19.69,16.74,13.78,60,EA,1992-01-21,true
05614-0092-74,Cipcillin,cipcillin,25mg,TABLET,TOPICAL,LUPIN,OPIOID,PAIN_MANAGEMENT,true,false,false,false,,39.73,33.77,27.81,30,EA,1994-05-03,true
48637-0093-95,Theraguard,tamtidine,100mg,CAPSULE,INHALATION,BAYER,CHEMOTHERAPY,ONCOLOGY,false,true,true,false,,4771.24,3816.99,,100,EA,2011-02-04,true
22381-0094-15,Omvir,omvir,1%,CREAM,ORAL,ZYDUS,ACE_INHIBITOR,CARDIOVASCULAR,true,false,false,false,,36.44,30.97,25.51,45,ML,2013-12-13,true
83520-0095-79,Gabzolam,gabzolam,20mg,CAPSULE,INHALATION,ACTAVIS,THYROID,ENDOCRINE,true,false,false,false,,34.43,29.27,24.10,90,EA,2011-10-11,true
49408-0096-32,Theraxr,amolol,1%,OINTMENT,ORAL,ROCHE,BETA_BLOCKER,CARDIOVASCULAR,false,true,false,false,,269.30,220.83,,15,ML,2019-07-27,true
11168-0097-99,Omdipine,omdipine,1%,OINTMENT,ORAL,TEVA,CEPHALOSPORIN,ANTIBIOTICS,true,false,false,false,,42.55,36.17,29.78,15,ML,2021-05-08,true
91606-0098-06,Vardipine,vardipine,10mg/ml,INJECTION,ORAL,MYLAN,TARGETED_THERAPY,ONCOLOGY,true,false,false,false,,11.01,9.36,7.71,10,ML,2024-07-18,true
94404-0099-16,Predsartan,predsartan,200mg,SUPPOSITORY,INHALATION,DR_REDDY,CORTICOSTEROID,IMMUNOLOGY,true,false,false,false,,21.38,18.17,14.97,12,ML,1987-09-16,true
99070-0100-83,Lipoplex,fluprazole,0.1%,CREAM,ORAL,ABBVIE,STATIN,CARDIOVASCULAR,false,true,false,false,,380.65,312.13,,45,ML,2007-07-03,true
12454-0101-37,Bencillin,bencillin,5mg,TABLET,ORAL,DR_REDDY,THYROID,ENDOCRINE,true,false,false,false,,17.17,14.59,12.02,60,EA,2004-08-01,true
52403-0102-07,Valpril,valpril,100mg/ml,INJECTION,ORAL,SANDOZ,TETRACYCLINE,ANTIBIOTICS,true,false,false,false,,20.68,17.58,14.48,10,ML,2004-07-06,true
81719-0103-06,Partriptan,partriptan,40mg,CAPSULE,ORAL,SUN_PHARMA,ANTIVIRAL,OTHER,true,false,false,false,,32.37,27.51,22.66,90,EA,1999-09-13,true
88883-0104-82,Enpril,enpril,50mg/ml,INJECTION,ORAL,AUROBINDO,STIMULANT,CNS,true,false,false,false,,28.77,24.45,20.14,1,ML,1985-11-26,true
97053-0105-08,Simsartan,simsartan,5%,OINTMENT,TOPICAL,DR_REDDY,CORTICOSTEROID,IMMUNOLOGY,true,false,false,false,,6.83,5.81,4.78,15,ML,1995-08-18,true
20150-0106-39,Renacare,levdipine,200mcg,INHALER,ORAL,JOHNSON_JOHNSON,CORTICOSTEROID,RESPIRATORY,false,true,false,false,,347.23,284.73,,2,ML,1998-12-08,true
12432-0107-40,Vitaplus,azzolam,10mg,TABLET,ORAL,SANOFI,STATIN,CARDIOVASCULAR,false,true,false,false,,161.93,132.78,,60,EA,2006-07-10,true
38087-0108-40,Predcycline,predcycline,50mg,TABLET,ORAL,ZYDUS,STATIN,CARDIOVASCULAR,true,false,false,false,,0.86,0.73,0.60,90,EA,1991-12-20,true
33662-0109-49,Actiod,amcycline,50mg,TABLET,TOPICAL,ELI_LILLY,ANTIEMETIC,GASTROINTESTINAL,false,true,false,false,,265.34,217.58,,30,EA,2004-09-05,true
41272-0110-51,Cipolol,cipolol,50mg/5ml,SOLUTION,ORAL,CIPLA,CORTICOSTEROID,RESPIRATORY,true,false,false,false,,25.31,21.51,17.72,480,ML,2017-02-01,true
42861-0111-62,Cardixr,hydtriptan,100mg/5ml,SOLUTION,ORAL,ELI_LILLY,PENICILLIN,ANTIBIOTICS,false,true,false,false,,403.21,330.63,,100,ML,2016-09-09,true
05218-0112-30,Ultraplus,hydstatin,500mg,TABLET,TOPICAL,BOEHRINGER_INGELHEIM,PPI,GASTROINTESTINAL,false,true,false,false,,187.52,153.77,,500,EA,2020-10-23,true
14843-0113-79,Cipdipine,cipdipine,2%,CREAM,ORAL,SANDOZ,TOPICAL_ANALGESIC,PAIN_MANAGEMENT,true,false,false,false,,40.31,34.26,28.22,15,ML,1992-10-17,true
90658-0114-98,Vitaguard,vencycline,100mg/5ml,SOLUTION,ORAL,NOVARTIS,ANTACID,GASTROINTESTINAL,false,true,false,false,,124.25,101.88,,240,ML,1997-11-22,true
88536-0115-20,Simfloxacin,simfloxacin,40mg,TABLET,INHALATION,ZYDUS,ANTICOAGULANT,CARDIOVASCULAR,true,false,false,false,,8.49,7.22,5.94,60,EA,2023-12-10,true
58339-0116-70,Venazole,venazole,500mg/5ml,SUSPENSION,ORAL,ZYDUS,ANTIDEPRESSANT,CNS,true,false,false,false,,24.73,21.02,17.31,200,ML,2019-03-23,true
64674-0117-68,Simazole,simazole,500mg,TABLET,INHALATION,DR_REDDY,CORTICOSTEROID,RESPIRATORY,true,false,false,false,,16.07,13.66,11.25,90,EA,2010-03-02,true
76512-0118-07,Tamfloxacin,tamfloxacin,100mg,TABLET,ORAL,ZYDUS,PENICILLIN,ANTIBIOTICS,true,false,false,false,,47.09,40.03,32.96,30,EA,1994-07-16,true
96956-0119-65,Ketopro,distatin,25mg,TABLET,ORAL,ROCHE,NSAID,PAIN_MANAGEMENT,false,true,false,false,,292.80,240.10,,60,EA,2008-07-01,true
45728-0120-30,Pharduo,zolsartan,10mg/ml,INJECTION,ORAL,NOVARTIS,MACROLIDE,ANTIBIOTICS,false,true,true,false,,4505.10,3604.08,,25,ML,2011-12-03,true
24821-0121-81,Clovir,clovir,50mg,TABLET,ORAL,DR_REDDY,ANXIOLYTIC,CNS,true,false,false,false,,47.88,40.70,33.52,30,EA,2015-11-16,true
01069-0122-48,Napcillin,napcillin,10mg/ml,INJECTION,ORAL,CIPLA,TOPICAL_STEROID,DERMATOLOGY,true,false,false,false,,47.90,40.71,33.53,5,ML,1997-03-08,true
40327-0123-84,Serazole,serazole,2%,CREAM,ORAL,ZYDUS,ANTIPSYCHOTIC,CNS,true,false,false,false,,26.68,22.68,18.68,15,ML,1982-08-23,true
11389-0124-65,Napzolam,napzolam,40mg,TABLET,ORAL,AUROBINDO,TOPICAL_ANALGESIC,PAIN_MANAGEMENT,true,false,false,false,,37.96,32.27,26.57,100,EA,1989-12-21,true
63551-0125-83,Flexshield,proazole,5mg,TABLET,INHALATION,SANOFI,BRONCHODILATOR,RESPIRATORY,false,true,false,false,,263.55,216.11,,60,EA,1990-11-05,true
11892-0126-10,Oncoplex,hydsartan,250mg/5ml,SUSPENSION,ORAL,ELI_LILLY,FLUOROQUINOLONE,ANTIBIOTICS,false,true,false,false,,140.51,115.22,,100,ML,2022-09-01,true
85115-0127-42,Ketvir,ketvir,20mg,CAPSULE,ORAL,ZYDUS,PPI,GASTROINTESTINAL,true,false,false,false,,13.20,11.22,9.24,60,EA,2010-07-04,true
86125-0128-55,Venolol,venolol,10mg,TABLET,ORAL,SUN_PHARMA,TOPICAL_ANALGESIC,PAIN_MANAGEMENT,true,false,false,false,,49.00,41.65,34.30,90,EA,1991-03-06,true
56608-0129-45,Cefstatin,cefstatin,500mg,TABLET,ORAL,MYLAN,TETRACYCLINE,ANTIBIOTICS,true,false,false,false,,33.32,28.32,23.32,60,EA,2023-01-14,true
77787-0130-92,Proazole,proazole,75mg,CAPSULE,ORAL,TEVA,MACROLIDE,ANTIBIOTICS,true,false,false,false,,11.44,9.72,8.01,100,EA,1996-09-20,true
59564-0131-74,Ultrapro,valolol,100mg,CAPSULE,ORAL,GILEAD,FLUOROQUINOLONE,ANTIBIOTICS,false,true,false,false,,418.94,343.53,,90,EA,2003-02-26,true
05491-0132-03,Seromax,metcillin,25mg/5ml,SOLUTION,INHALATION,PFIZER,IMMUNOSUPPRESSANT,IMMUNOLOGY,false,true,false,false,,185.91,152.45,,120,ML,2001-12-25,true
33974-0133-33,Hydstatin,hydstatin,25mg,TABLET,ORAL,CIPLA,ACE_INHIBITOR,CARDIOVASCULAR,true,false,false,false,,22.18,18.85,15.53,100,EA,1993-04-09,false
62883-0134-59,Ketfloxacin,ketfloxacin,100mg,TABLET,ORAL,AUROBINDO,LAXATIVE,GASTROINTESTINAL,true,false,false,false,,32.43,27.57,22.70,60,EA,2001-09-07,true
56452-0135-65,Vitahct,warolol,10mg/5ml,SOLUTION,INJECTION,MERCK,ANTICONVULSANT,CNS,false,true,false,false,,211.91,173.77,,240,ML,2020-06-17,true
58915-0136-43,Cloprazole,cloprazole,40mg,TABLET,ORAL,SUN_PHARMA,IMMUNOTHERAPY,ONCOLOGY,true,false,false,false,,34.17,29.04,23.92,500,EA,2010-04-27,true
30774-0137-56,Zymola,tamcycline,150mg,CAPSULE,TOPICAL,ROCHE,ANTIPARASITIC,OTHER,false,true,false,false,,340.85,279.50,,100,EA,1992-05-21,true
60883-0138-37,Tamfloxacin,tamfloxacin,25mg,TABLET,ORAL,MYLAN,IMMUNOSUPPRESSANT,IMMUNOLOGY,true,false,false,false,,21.54,18.31,15.08,500,EA,2000-07-13,true
28675-0139-39,Cipstatin,cipstatin,20mg,TABLET,ORAL,SANDOZ,ANXIOLYTIC,CNS,true,false,false,false,,47.01,39.96,32.91,90,EA,2023-08-01,true
98699-0140-87,Ceftriptan,ceftriptan,250mg,TABLET,ORAL,ACTAVIS,BETA_BLOCKER,CARDIOVASCULAR,true,false,false,false,,15.99,13.59,11.19,100,EA,2007-09-23,true
00638-0141-89,Proolol,proolol,25mg,TABLET,ORAL,TEVA,MACROLIDE,ANTIBIOTICS,true,false,false,false,,12.69,10.79,8.88,500,EA,2014-03-05,false
